id,age,gender,ideology,pid,degree,industry,worried,happening,need_policy,c_fedgov,c_corps,c_farmers,c_public,1_loop1,2_loop1,3_loop1,4_loop1,5_loop1,6_loop1,7_loop1,8_loop1,10_loop1,11_loop1,12_loop1,13_loop1,14_loop1,15_loop1,16_loop1,17_loop1,18_loop1,19_loop1,20_loop1,21_loop1,22_loop1,23_loop1,24_loop1,25_loop1,26_loop1,27_loop1,28_loop1,29_loop1,30_loop1,31_loop1,32_loop1,33_loop1,34_loop1,1_loop2,2_loop2,3_loop2,4_loop2,5_loop2,6_loop2,7_loop2,8_loop2,9_loop2,10_loop2,11_loop2,12_loop2,13_loop2,14_loop2,15_loop2,16_loop2,17_loop2,18_loop2,19_loop2,20_loop2,21_loop2,22_loop2,23_loop2,24_loop2,25_loop2,26_loop2,27_loop2,28_loop2,29_loop2,30_loop2,31_loop2,32_loop2,33_loop2,1_loop3,2_loop3,3_loop3,4_loop3,5_loop3,6_loop3,7_loop3,8_loop3,9_loop3,10_loop3,11_loop3,12_loop3,13_loop3,14_loop3,15_loop3,16_loop3,17_loop3,18_loop3,19_loop3,20_loop3,21_loop3,22_loop3,23_loop3,24_loop3,25_loop3,26_loop3,27_loop3,28_loop3,29_loop3,30_loop3,31_loop3,32_loop3,33_loop3,four_just_1,four_just_2,four_just_3,four_just_4,comments_overall,pid3,ideo3,lib,con,ideo7,age_groups,degree2,bach_more,ind,worried_cat,need_cat,age_cat,pid_cat,bach_cat,gender_cat,ideo_cat,conf_cat,loop,sm_np,sm_sup,sm_score
827,36,Female,Conservative,Strong Republican,High school,"Wholesale and retail trade, transportation and storage, accommodation and food service activities",-1,-1,-1,0,1,3,1,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Strongly oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly favor,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat favor,Strongly oppose,Somewhat oppose,Strongly favor,Somewhat favor,Strongly oppose,Somewhat oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Extremely important,Not very important,Not very important,"everything was pretty easy to understand , no suggestions to offer",Republican,Conservative,0,1,2,35-44,HS or less/NA,0,Retail/logistics,Not worried,No need,Younger,Republican,Less than bach,Female,Conservative,Doubt,1,-0.21212121212121215,0.3939393939393939,-0.2727272727272728
828,35,Female,Leaning liberal,"Independent, leans Democrat",Bachelor's degree,Information and communication,1,1,1,1,1,1,1,Somewhat favor,Don't know enough to say,Somewhat favor,Strongly favor,Don't know enough to say,Somewhat favor,Somewhat oppose,Don't know enough to say,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Don't know enough to say,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat oppose,Strongly favor,Somewhat favor,Strongly favor,Don't know enough to say,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Very important,Very important,Very important,None,Ind/Other,Moderate,0,0,-1,35-44,Bachelor,1,Info/comms,Worried,Need policy,Younger,NA,Bach or more,Female,NA,Doubt,1,0.48484848484848486,0.7857142857142857,0.6363636363636364
829,42,Female,Extremely liberal,Strong Democrat,Bachelor's degree,Information and communication,-2,2,2,1,2,3,2,Strongly favor,Strongly oppose,Strongly oppose,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly oppose,Somewhat favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly oppose,Strongly oppose,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,None,Democrat,Liberal,1,0,-3,35-44,Bachelor,1,Info/comms,Not worried,Need policy,Younger,Democrat,Bach or more,Female,Liberal,Doubt,1,0.2121212121212121,0.6060606060606061,0.3939393939393938
830,65,Female,"Moderate, middle of the road","Independent, leans Republican","Associate degree, junior college, or technical program","Wholesale and retail trade, transportation and storage, accommodation and food service activities",2,2,2,1,1,3,2,Strongly favor,Somewhat oppose,Strongly oppose,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Don't know enough to say,Somewhat oppose,Strongly favor,Strongly favor,Don't know enough to say,Somewhat favor,Don't know enough to say,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Don't know enough to say,Don't know enough to say,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Don't know enough to say,Somewhat oppose,Somewhat oppose,Somewhat oppose,Don't know enough to say,Strongly oppose,Somewhat favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Very important,Extremely important,Some were hard to understand.,Ind/Other,Moderate,0,0,0,65 and up,Assoc/tech,0,Retail/logistics,Worried,Need policy,Older,NA,Less than bach,Female,NA,Doubt,1,0,0.5,0.06060606060606066
831,28,Female,Liberal,Independent,High school,"Wholesale and retail trade, transportation and storage, accommodation and food service activities",1,0,1,2,2,3,3,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat oppose,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat oppose,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not very important,Somewhat important,Very important,Extremely important,NA,Ind/Other,Liberal,1,0,-2,25-34,HS or less/NA,0,Retail/logistics,Worried,Need policy,Younger,NA,Less than bach,Female,Liberal,Confidence,1,0.6969696969696969,0.8484848484848485,1.2121212121212122
832,36,Male,Leaning liberal,"Independent, leans Democrat",High school,"Wholesale and retail trade, transportation and storage, accommodation and food service activities",1,2,2,1,1,2,2,Somewhat favor,Strongly oppose,Strongly oppose,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Don't know enough to say,Somewhat favor,Don't know enough to say,Strongly favor,Somewhat favor,Strongly favor,Strongly oppose,Don't know enough to say,Somewhat oppose,Don't know enough to say,Strongly favor,Don't know enough to say,Don't know enough to say,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Somewhat oppose,Strongly oppose,Strongly favor,Don't know enough to say,Strongly oppose,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Very important,Very important,NA,Ind/Other,Moderate,0,0,-1,35-44,HS or less/NA,0,Retail/logistics,Worried,Need policy,Younger,NA,Less than bach,Male,NA,Doubt,1,0.3030303030303031,0.7083333333333334,0.5151515151515151
833,44,Female,"Moderate, middle of the road","Independent, leans Democrat",Bachelor's degree,Other services,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Don't know enough to say,Don't know enough to say,Don't know enough to say,Somewhat oppose,Don't know enough to say,Somewhat favor,Don't know enough to say,Somewhat oppose,Strongly oppose,Don't know enough to say,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Don't know enough to say,Don't know enough to say,Strongly oppose,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat oppose,Strongly oppose,Very important,Somewhat important,Very important,Somewhat important,NA,Ind/Other,Moderate,0,0,0,35-44,Bachelor,1,Other services,Worried,Need policy,Younger,NA,Bach or more,Female,NA,Doubt,3,-0.2727272727272727,0.32,-0.39393939393939387
834,39,Female,Extremely conservative,"Independent, leans Republican",High school,"Wholesale and retail trade, transportation and storage, accommodation and food service activities",-1,-1,-1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly oppose,Strongly oppose,Strongly favor,Don't know enough to say,Strongly oppose,Strongly oppose,Strongly oppose,Don't know enough to say,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat oppose,Somewhat favor,Don't know enough to say,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly oppose,Strongly favor,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Don't know enough to say,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Not al all important,Not al all important,"No, but thank you!",Ind/Other,Conservative,0,1,3,35-44,HS or less/NA,0,Retail/logistics,Not worried,No need,Younger,NA,Less than bach,Female,Conservative,Doubt,2,-0.4545454545454545,0.24137931034482757,-0.909090909090909
835,62,Female,Liberal,Strong Democrat,"Associate degree, junior college, or technical program",Financial and insurance activities,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat oppose,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Very important,Very important,Very important,NA,Democrat,Liberal,1,0,-2,55-64,Assoc/tech,0,Finance/Insur,Worried,Need policy,Older,Democrat,Less than bach,Female,Liberal,Doubt,2,0.6363636363636364,0.8181818181818181,0.9393939393939394
836,20,Female,"Moderate, middle of the road",Independent,High school,"Wholesale and retail trade, transportation and storage, accommodation and food service activities",2,2,1,1,1,2,0,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Somewhat favor,Strongly favor,Don't know enough to say,Somewhat favor,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat favor,Strongly favor,Strongly favor,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Strongly favor,Don't know enough to say,Somewhat favor,Don't know enough to say,Strongly favor,Don't know enough to say,Strongly favor,Somewhat favor,Don't know enough to say,Strongly oppose,Don't know enough to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,NA,Ind/Other,Moderate,0,0,0,18-24,HS or less/NA,0,Retail/logistics,Worried,Need policy,Younger,NA,Less than bach,Female,NA,Doubt,1,0.33333333333333337,0.9230769230769231,0.48484848484848486
837,71,Male,Conservative,Republican,Bachelor's degree,"Public administration, defence, education, human health and social work activities",1,1,1,1,2,2,3,Somewhat favor,Strongly oppose,Strongly oppose,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat favor,Strongly oppose,Somewhat favor,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Don't know enough to say,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Very important,Very important,This survey was realistic.,Republican,Conservative,0,1,2,65 and up,Bachelor,1,Public admin,Worried,Need policy,Older,Republican,Bach or more,Male,Conservative,Doubt,1,-0.06060606060606066,0.46875,-0.18181818181818185
838,56,Female,Leaning conservative,"Independent, leans Republican",High school,"Wholesale and retail trade, transportation and storage, accommodation and food service activities",0,0,-1,1,1,2,2,Somewhat favor,Strongly oppose,Strongly oppose,Somewhat favor,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat favor,Somewhat favor,Strongly oppose,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Don't know enough to say,Somewhat favor,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly favor,Don't know enough to say,Somewhat oppose,Strongly oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Very important,Very important,Not very important,NA,Ind/Other,Moderate,0,0,1,55-64,HS or less/NA,0,Retail/logistics,Not worried,No need,Older,NA,Less than bach,Female,NA,Doubt,1,-0.39393939393939387,0.2903225806451613,-0.7878787878787878
839,20,Male,"Moderate, middle of the road",Independent,High school,I am a currently a student,2,1,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Strongly oppose,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Don't know,Don't know,Don't know,NA,Ind/Other,Moderate,0,0,0,18-24,HS or less/NA,0,Student,Worried,Need policy,Younger,NA,Less than bach,Male,NA,Doubt,2,-0.030303030303030318,0,-0.060606060606060635
840,50,Male,Liberal,Strong Democrat,Advanced degree,"Public administration, defence, education, human health and social work activities",1,2,1,1,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Somewhat favor,Somewhat oppose,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly oppose,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly oppose,Strongly favor,Strongly oppose,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Very important,Extremely important,Extremely important,No,Democrat,Liberal,1,0,-2,45-54,Advanced,0,Public admin,Worried,Need policy,Older,Democrat,Less than bach,Male,Liberal,Doubt,2,0.5757575757575758,0.7878787878787878,0.9696969696969697
841,36,Male,Extremely liberal,Strong Democrat,"Associate degree, junior college, or technical program",Information and communication,2,2,2,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Extremely important,Very important,Very important,Very important,NA,Democrat,Liberal,1,0,-3,35-44,Assoc/tech,0,Info/comms,Worried,Need policy,Younger,Democrat,Less than bach,Male,Liberal,Doubt,3,0.9393939393939394,0.9696969696969697,1.7878787878787878
842,37,Male,"Moderate, middle of the road",Independent,Bachelor's degree,Construction,-1,0,1,3,3,3,3,Somewhat favor,Strongly oppose,Somewhat oppose,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Strongly favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly oppose,Somewhat oppose,Somewhat favor,Strongly oppose,Strongly oppose,Somewhat oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Extremely important,Somewhat important,Somewhat important,NA,Ind/Other,Moderate,0,0,0,35-44,Bachelor,1,Construction,Not worried,Need policy,Younger,NA,Bach or more,Male,NA,Confidence,1,-0.2121212121212121,0.3939393939393939,-0.2727272727272729
843,57,Female,"Moderate, middle of the road",Other party,High school,"Manufacturing, mining and quarrying and other industry",2,2,2,0,0,2,2,Don't know enough to say,Strongly oppose,Don't know enough to say,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat favor,Somewhat favor,Somewhat oppose,Don't know enough to say,Don't know enough to say,Don't know enough to say,Somewhat oppose,Strongly favor,Don't know enough to say,Somewhat favor,Don't know enough to say,Don't know enough to say,Don't know enough to say,Strongly favor,Don't know enough to say,Strongly favor,Don't know enough to say,Strongly favor,Don't know enough to say,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,Don't know enough to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,No and no other comments or suggestions.,Ind/Other,Moderate,0,0,0,55-64,HS or less/NA,0,Manufacturing,Worried,Need policy,Older,NA,Less than bach,Female,NA,Doubt,1,0.09090909090909097,0.588235294117647,0.09090909090909097
844,56,Female,Conservative,Republican,"Associate degree, junior college, or technical program",Other services,-2,0,-1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Don't know enough to say,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Somewhat favor,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat favor,Strongly oppose,Don't know enough to say,Don't know enough to say,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Strongly oppose,Strongly oppose,Extremely important,Not very important,Not very important,Not very important,NA,Republican,Conservative,0,1,2,55-64,Assoc/tech,0,Other services,Not worried,No need,Older,Republican,Less than bach,Female,Conservative,Doubt,3,-0.5151515151515151,0.20689655172413796,-0.9393939393939394
845,62,Male,Leaning liberal,"Independent, leans Democrat",Advanced degree,Information and communication,1,1,2,1,1,2,1,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Don't know enough to say,Somewhat favor,Strongly favor,Somewhat favor,Don't know enough to say,Somewhat oppose,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat favor,Don't know enough to say,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat oppose,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Somewhat important,Very important,Very important,"There are proposals in the second section that I don't know much about. I wasn't sure if they were purely hypotheical or actually being considered. However it broadened my perspective of potential remedies to mitigate climate change, whether real or not. Thanks.",Ind/Other,Moderate,0,0,-1,55-64,Advanced,0,Info/comms,Worried,Need policy,Older,NA,Less than bach,Male,NA,Doubt,1,0.5151515151515151,0.7931034482758621,0.7575757575757575
846,67,Female,Extremely liberal,Strong Democrat,High school,Other services,-1,0,-1,0,0,0,NA,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat oppose,Don't know enough to say,Strongly oppose,Somewhat oppose,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Strongly oppose,Don't know enough to say,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Don't know enough to say,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat favor,Don't know enough to say,Don't know enough to say,Strongly oppose,Strongly favor,Strongly oppose,Strongly oppose,Don't know enough to say,Strongly oppose,Strongly oppose,Somewhat oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,none were hard to understand.,Democrat,Liberal,1,0,-3,65 and up,HS or less/NA,0,Other services,Not worried,No need,Older,Democrat,Less than bach,Female,Liberal,Doubt,1,-0.5757575757575758,0.08695652173913046,-1.0303030303030303
